MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
02593140+0037001,44.880847,0.616721,13.799,13.222,13.167
02594061+0036379,44.919229,0.610531,16.794,16.093,15.451
02594119+0037029,44.921658,0.617475,14.666,14.261,14.14
02593744+0037364,44.906036,0.626795,15.339,14.535,13.654
02594451+0037172,44.93548,0.621464,16.35,15.759,15.198
02594505+0037281,44.937738,0.624476,8.227,8.079,7.871
02594507+0037313,44.937798,0.625384,8.562,8.094,7.972
02593978+0038049,44.915768,0.634722,16.275,15.532,15.565
02593536+0037460,44.897343,0.629454,15.688,15.529,15.062
02593826+0038085,44.909451,0.635709,16.609,16.244,15.903
02594293+0039081,44.928898,0.652274,15.445,14.776,14.075
02590196+0032311,44.758169,0.541978,16.389,16.007,15.598
02585106+0033053,44.712783,0.551478,15.211,14.939,14.893
02585021+0033391,44.709229,0.560866,16.407,16.099,16.431
02585351+0034148,44.722959,0.570782,16.583,16.137,16.19
02585485+0034233,44.728542,0.573165,16.422,16.205,15.693
02590678+0034026,44.778275,0.567403,15.414,15.084,14.604
02591106+0035196,44.796119,0.588788,13.445,12.971,12.812
02590239+0035201,44.759992,0.588939,16.286,15.393,15.309
02590726+0036306,44.780282,0.608514,15.426,14.944,14.809
02585051+0034590,44.710493,0.583058,15.865,15.136,14.525
02585073+0035028,44.711393,0.584119,15.295,14.791,14.5
02585168+0035572,44.715355,0.599225,15.31,14.597,14.637
02584334+0035175,44.680588,0.588217,14.609,14.314,14.104
02584474+0037109,44.686457,0.619707,14.53,14.223,14.208
02585324+0037118,44.721867,0.619964,13.919,13.211,13.122
02585637+0037380,44.734881,0.627242,12.113,11.78,11.694
02590194+0037125,44.758113,0.620153,17.162,15.829,15.376
02590046+0038341,44.751938,0.642826,13.765,13.121,12.95
02585319+0037260,44.72165,0.62389,14.442,14.02,13.954
02584825+0037377,44.701082,0.627162,15.409,15.006,14.897
02584866+0038248,44.702791,0.64024,13.755,13.178,12.948
02585562+0038577,44.731753,0.649363,15.096,14.62,14.453
02585721+0039402,44.738388,0.661169,14.919,14.404,14.303
02592175+0037542,44.840632,0.631733,14.1,13.464,13.265
02591145+0037318,44.797748,0.625525,15.352,14.85,14.886
02591130+0037511,44.79709,0.630866,9.462,9.29,9.201
02590932+0037567,44.788864,0.63244,16.755,15.544,14.814
02593634+0039502,44.901453,0.663969,13.39,12.851,12.51
02592551+0040481,44.856295,0.680048,8.882,8.616,8.56
02592557+0040564,44.856553,0.682358,13.869,13.752,13.295
02590847+0038251,44.785319,0.640323,16.398,15.889,15.408
02590916+0039185,44.788202,0.655162,15.973,15.531,14.965
02591358+0040173,44.806605,0.671498,15.77,15.275,15.149
02590526+0041524,44.771958,0.697915,16.373,15.634,15.013
02591069+0043102,44.794553,0.719519,16.459,16.263,16.233
02591588+0043317,44.816167,0.72549,14.996,14.406,14.239
02575067+0027417,44.461157,0.461605,15.449,14.891,14.732
02574683+0028265,44.445146,0.474037,16.127,15.826,15.801
02575032+0028595,44.45968,0.483199,14.214,13.861,13.713
02575625+0030117,44.484404,0.503274,15.937,15.499,15.036
02575538+0030447,44.480787,0.512437,16.657,15.948,15.347
02575478+0030556,44.478272,0.515467,14.073,13.552,13.477
02580464+0030460,44.519367,0.512782,14.861,14.409,13.865
