YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
1,2MASS J18184514-1347235,18 18 45.14471,-13 47 23.6224,11.664,10.732,
1,2MASS J18184583-1347342,18 18 45.84083,-13 47 34.2279,15.297,14.281,12.959
1,2MASS J18184437-1347208,18 18 44.364,-13 47 20.80,14.328,13.135,12.621
1,2MASS J18184540-1347465,18 18 45.40666,-13 47 46.6020,,14.432,13.197
1,2MASS J18184513-1347147,18 18 45.12052,-13 47 14.5481,15.338,14.021,13.353
1,2MASS J18184398-1347264,18 18 43.97496,-13 47 26.4225,16.515,15.134,14.554
1,2MASS J18184584-1347463,18 18 45.84587,-13 47 46.3549,14.47,13.574,13.139
1,2MASS J18184634-1347233,18 18 46.32801,-13 47 23.2716,15.553,14.524,13.805
1,2MASS J18184545-1347102,18 18 45.46173,-13 47 10.2343,14.432,13.568,13.229
1,2MASS J18184661-1347269,18 18 46.61871,-13 47 27.0114,15.665,14.535,14.218
1,2MASS J18184325-1347362,18 18 43.25558,-13 47 36.2909,15.575,14.667,14.32
1,2MASS J18184330-1347471,18 18 43.30890,-13 47 47.1140,14.623,13.547,13.347
1,2MASS J18184558-1348013,18 18 45.58703,-13 48 01.4126,14.972,13.848,13.391
1,2MASS J18184786-1347356,18 18 47.88364,-13 47 35.7304,15.235,14.502,13.89
0,2MASS J18184629-1348089,18 18 46.29917,-13 48 08.9722,16.222,14.35,13.243
1,2MASS J18184226-1347342,18 18 42.265,-13 47 34.28,,,12.251
1,2MASS J18184738-1347036,18 18 47.38964,-13 47 03.7542,15.433,14.596,14.186
0,2MASS J18184612-1348139,18 18 46.13230,-13 48 14.0603,16.604,15.134,14.703
1,2MASS J18184668-1346519,18 18 46.68406,-13 46 51.9857,14.131,13.395,13.041
0,2MASS J18184250-1347059,18 18 42.50753,-13 47 06.0035,14.908,14.089,
1,2MASS J18184453-1346421,18 18 44.53711,-13 46 42.1808,15.47,14.424,14.019
1,2MASS J18184855-1347233,18 18 48.53489,-13 47 23.3672,14.08,11.781,10.71
1,2MASS J18184194-1347063,18 18 41.95707,-13 47 06.5146,14.142,13.245,12.911
1,2MASS J18184201-1348036,18 18 42.01615,-13 48 03.6575,14.241,13.21,12.484
1,2MASS J18184464-1348268,18 18 44.64734,-13 48 26.9523,15.429,14.326,14.029
1,2MASS J18184141-1347082,18 18 41.42855,-13 47 08.3183,13.739,12.809,12.481
1,2MASS J18184123-1347477,18 18 41.23731,-13 47 47.7645,14.463,13.603,13.293
1,2MASS J18184108-1347436,18 18 41.08416,-13 47 43.6244,14.081,12.982,12.432
1,2MASS J18184151-1348010,18 18 41.50742,-13 48 01.1266,15.116,14.131,13.74
0,2MASS J18184171-1348062,18 18 41.71171,-13 48 06.2558,14.462,13.692,13.332
1,2MASS J18184872-1346553,18 18 48.720,-13 46 55.30,15.297,14.399,13.77
1,2MASS J18184942-1347191,18 18 49.42202,-13 47 19.0823,15.712,14.319,13.731
1,2MASS J18184147-1346504,18 18 41.47162,-13 46 50.4181,13.979,13.132,12.862
1,2MASS J18184789-1348258,18 18 47.89612,-13 48 25.8373,12.819,12.229,11.924
1,2MASS J18184834-1346411,18 18 48.35712,-13 46 40.9431,16.773,15.155,14.546
1,2MASS J18184310-1346283,18 18 43.10809,-13 46 28.3343,14.342,13.307,12.991
1,2MASS J18184770-1348302,18 18 47.70098,-13 48 30.1418,15.505,14.076,13.401
1,2MASS J18184057-1347005,18 18 40.56904,-13 47 00.6197,13.672,12.754,12.157
1,2MASS J18184755-1346271,18 18 47.56051,-13 46 27.1535,15.607,14.21,13.531
1,2MASS J18184882-1346378,18 18 48.83323,-13 46 37.8549,15.225,13.888,13.109
1,2MASS J18184192-1346308,18 18 41.924,-13 46 30.89,14.117,13.199,12.77
1,2MASS J18184127-1346381,18 18 41.27069,-13 46 38.2313,14.346,13.26,12.606
1,2MASS J18184469-1346142,18 18 44.707,-13 46 14.17,13.911,12.888,12.512
1,2MASS J18185034-1347455,18 18 50.34795,-13 47 45.7414,15.427,14.398,13.808
1,2MASS J18183978-1347352,18 18 39.79014,-13 47 35.2240,11.687,10.935,10.617
1,2MASS J18184998-1346563,18 18 49.982,-13 46 56.38,15.472,14.176,13.718
1,2MASS J18184008-1346526,18 18 40.08790,-13 46 52.6547,13.539,12.457,11.815
1,2MASS J18185011-1348109,18 18 50.12210,-13 48 10.6144,15.903,14.887,14.111
1,2MASS J18184087-1346358,18 18 40.88090,-13 46 35.9304,14.059,12.827,12.04
1,2MASS J18185082-1347285,18 18 50.83522,-13 47 28.4375,14.39,13.519,13.173
1,2MASS J18184247-1348469,18 18 42.48123,-13 48 47.0359,11.973,11.573,11.392
1,2MASS J18184228-1346152,18 18 42.282,-13 46 15.21,14.357,13.264,12.912
1,2MASS J18184991-1348232,18 18 49.91628,-13 48 23.0790,16.059,15.369,14.666
1,2MASS J18183981-1348137,18 18 39.81699,-13 48 13.7683,14.986,14.053,13.808
1,2MASS J18184469-1348597,18 18 44.69577,-13 48 59.6224,15.142,14.149,13.977
1,2MASS J18184954-1346298,18 18 49.54688,-13 46 29.7762,15.85,14.538,13.711
1,2MASS J18184180-1346151,18 18 41.80892,-13 46 15.1928,12.145,11.341,11.046
1,2MASS J18183920-1347589,18 18 39.234,-13 47 59.00,15.453,14.63,14.044
1,2MASS J18185027-1346416,18 18 50.28599,-13 46 41.5710,15.601,14.438,13.929
1,2MASS J18184098-1348393,18 18 40.983,-13 48 39.36,14.819,13.919,13.447
1,2MASS J18183883-1347515,18 18 38.86240,-13 47 51.0259,16.61,15.06,14.478
1,2MASS J18184268-1346035,18 18 42.700,-13 46 03.83,14.661,13.461,12.713
