YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
0,2MASS J05353013+3402244,05 35 30.12961,+34 02 24.2149,15.755,14.93,14.851
0,2MASS J05353058+3413356,05 35 30.58496,+34 13 35.7006,9.744,8.485,8.035
1,2MASS J05353448+3407216,05 35 34.48272,+34 07 21.5992,14.594,14.137,14.026
1,2MASS J05353708+3401274,05 35 37.07559,+34 01 27.2893,14.162,13.608,13.36
0,2MASS J05353896+3412343,05 35 38.95481,+34 12 34.5203,16.264,15.63,15.566
0,2MASS J05354013+3401522,05 35 40.12587,+34 01 52.3740,14.56,13.971,13.864
1,2MASS J05354599+3359051,05 35 45.99648,+33 59 05.1792,15.47,,
0,2MASS J05354817+3409152,05 35 48.16421,+34 09 15.2710,14.714,14.174,13.948
0,2MASS J05355337+3416230,05 35 53.37297,+34 16 22.9879,14.405,13.8,13.729
0,2MASS J05355574+3358535,05 35 55.74437,+33 58 53.5688,14.816,14.222,13.945
0,2MASS J05355872+3406171,05 35 58.72738,+34 06 17.2125,14.997,14.283,14.185
0,2MASS J05355878+3409253,05 35 58.78209,+34 09 25.3017,14.666,13.934,13.763
1,2MASS J05360125+3405341,05 36 01.25187,+34 05 34.1823,13.43,13.158,13.073
1,2MASS J05360399+3406552,05 36 03.99816,+34 06 55.2816,13.73,12.555,11.717
0,2MASS J05360481+3406188,05 36 04.82014,+34 06 18.8850,16.042,15.394,15.071
1,2MASS J05360536+3403391,05 36 05.36582,+34 03 39.2521,14.278,13.693,13.496
0,2MASS J05360555+3411512,05 36 05.56135,+34 11 51.3511,15.323,14.701,14.33
1,2MASS J05360556+3414459,05 36 05.55906,+34 14 45.9695,14.583,13.961,13.728
1,2MASS J05360580+3405514,05 36 05.80511,+34 05 51.5156,14.068,13.456,13.373
0,2MASS J05360756+3410099,05 36 07.55467,+34 10 10.0804,15.079,14.477,14.209
1,2MASS J05360820+3417504,05 36 08.20856,+34 17 50.3780,13.667,13.342,13.321
0,2MASS J05360836+3408507,05 36 08.36664,+34 08 50.7480,13.012,12.841,12.735
0,2MASS J05360849+3407377,05 36 08.49269,+34 07 37.7819,13.969,13.424,13.213
0,2MASS J05360855+3404063,05 36 08.54834,+34 04 06.4637,13.412,13.101,12.959
1,2MASS J05360891+3357245,05 36 08.91377,+33 57 24.6049,13.397,13.118,13.03
0,2MASS J05360891+3405161,05 36 08.91125,+34 05 16.2068,15.308,14.592,14.357
1,2MASS J05360938+3407249,05 36 09.38844,+34 07 24.9836,13.622,13.238,13.117
0,2MASS J05360979+3404217,05 36 09.79059,+34 04 21.7682,15.365,14.59,14.316
0,2MASS J05361015+3411220,05 36 10.15404,+34 11 22.2432,15.082,14.397,14.161
0,2MASS J05361112+3413234,05 36 11.12352,+34 13 23.4012,14.556,13.955,13.691
1,2MASS J05361148+3405513,05 36 11.47748,+34 05 51.3868,13.371,12.952,12.817
1,2MASS J05361322+3406246,05 36 13.22399,+34 06 24.5178,14.554,13.899,13.802
0,2MASS J05361332+3411273,05 36 13.32744,+34 11 27.5066,16.118,15.421,15.088
1,2MASS J05361377+3407160,05 36 13.77698,+34 07 16.0534,12.842,12.614,12.558
1,2MASS J05361400+3411070,05 36 14.00115,+34 11 07.0427,13.855,13.481,13.393
1,2MASS J05361449+3407055,05 36 14.49425,+34 07 05.4672,14.387,13.939,13.797
0,2MASS J05361494+3411488,05 36 14.94936,+34 11 48.8112,14.253,13.655,13.508
0,2MASS J05361571+3403538,05 36 15.71570,+34 03 53.8149,13.823,13.499,13.391
0,2MASS J05361571+3406561,05 36 15.71662,+34 06 56.0111,,14.896,
1,2MASS J05361601+3401045,05 36 16.00891,+34 01 04.5743,13.356,12.911,12.742
0,2MASS J05361648+3409559,05 36 16.49049,+34 09 55.9886,15.532,14.784,14.565
0,2MASS J05361697+3412434,05 36 16.97751,+34 12 43.4837,13.933,13.293,13.179
1,2MASS J05361790+3409510,05 36 17.90878,+34 09 50.9619,14.425,13.852,13.665
0,2MASS J05361828+3409573,05 36 18.28599,+34 09 57.2249,15.632,14.932,14.694
1,2MASS J05361948+3407277,05 36 19.48284,+34 07 27.6767,14.366,13.756,13.583
0,2MASS J05361971+3409275,05 36 19.73195,+34 09 27.7948,16.349,15.495,15.191
1,2MASS J05362119+3410288,05 36 21.20288,+34 10 28.9260,14.889,14.119,14.009
0,2MASS J05362149+3404461,05 36 21.49302,+34 04 46.0392,15.473,14.745,14.561
0,2MASS J05362265+3406417,05 36 22.65115,+34 06 41.6623,14.787,14.117,13.898
0,2MASS J05362296+3403416,05 36 22.96243,+34 03 41.6259,14.071,13.587,13.509
1,2MASS J05362301+3406163,05 36 23.01506,+34 06 16.3888,14.194,13.689,13.557
0,2MASS J05362334+3404355,05 36 23.34865,+34 04 35.3611,16.266,15.359,15.031
0,2MASS J05362368+3406183,05 36 23.68007,+34 06 18.3653,14.758,14.165,14.078
0,2MASS J05362443+3405442,05 36 24.43305,+34 05 44.2906,14.629,13.885,13.628
0,2MASS J05362462+3411191,05 36 24.62140,+34 11 19.2410,14.663,14.022,13.813
1,2MASS J05362853+3409057,05 36 28.53039,+34 09 05.7370,13.537,13.222,13.127
0,2MASS J05362874+3407062,05 36 28.74573,+34 07 06.2771,14.675,13.868,13.651
1,2MASS J05362892+3413229,05 36 28.92716,+34 13 23.0495,13.44,13.068,13.027
1,2MASS J05362907+3402100,05 36 29.07505,+34 02 10.0068,14.572,13.932,13.737
0,2MASS J05362945+3412152,05 36 29.45118,+34 12 15.2921,15.01,14.333,14.135
1,2MASS J05362973+3405204,05 36 29.73360,+34 05 20.3625,14.286,13.673,13.413
0,2MASS J05363032+3412326,05 36 30.32272,+34 12 32.5572,15.203,14.496,14.278
0,2MASS J05363212+3358444,05 36 32.11872,+33 58 44.4425,14.836,14.058,13.857
1,2MASS J05363212+3406469,05 36 32.12381,+34 06 46.8590,,,13.178
0,2MASS J05363269+3404447,05 36 32.69206,+34 04 44.7297,14.482,13.983,13.774
0,2MASS J05363394+3405339,05 36 33.94323,+34 05 33.8292,15.472,14.662,14.697
0,2MASS J05363401+3418444,05 36 34.00663,+34 18 44.3957,14.686,14.099,14.03
0,2MASS J05363661+3406133,05 36 36.61727,+34 06 13.3039,14.572,13.95,13.747
0,2MASS J05363683+3408253,05 36 36.83602,+34 08 25.4159,15.351,14.589,14.262
0,2MASS J05363866+3410297,05 36 38.66374,+34 10 29.7762,14.273,13.804,13.622
1,2MASS J05363906+3417573,05 36 39.06307,+34 17 57.3160,14.243,13.788,13.646
1,2MASS J05364030+3402159,05 36 40.30340,+34 02 15.9614,13.436,13.072,12.946
1,2MASS J05364107+3403099,05 36 41.07565,+34 03 09.8750,13.737,13.391,13.304
