YSO,main id,ra,de,j,h,k
1,2MASS J05351493-0523289,05 35 14.93285,-05 23 29.0171,12.428,11.031,10.191
1,2MASS J05351543-0523454,05 35 15.44075,-05 23 45.4552,11.893,11.244,9.871
1,2MASS J05351487-0523050,05 35 14.80961,-05 23 04.7660,13.019,11.317,10.368
1,2MASS J05351738-0524001,05 35 17.38566,-05 24 00.2417,12.763,11.28,10.099
0,2MASS J05351431-0523082,05 35 14.31441,-05 23 08.3047,,11.391,10.436
0,2MASS J05351453-0523547,05 35 14.46,-05 23 53.8,,11.56,10.32
0,2MASS J05351541-0524115,05 35 15.47036,-05 24 11.3977,10.96,12.19,11.08
1,2MASS J05351671-0522309,05 35 16.73603,-05 22 31.2513,12.84,11.744,10.25
1,2MASS J05351519-0522367,05 35 15.193,-05 22 36.79,17.11,13.34,10.56
0,2MASS J05351984-0523513,05 35 19.845,-05 23 51.33,15.36,14.77,14
0,2MASS J05351549-0522309,05 35 15.493,-05 22 30.96,,,9.189
0,2MASS J05351559-0524181,05 35 15.59280,-05 24 18.1944,,12.475,11.373
1,2MASS J05351356-0523552,05 35 13.56,-05 23 55.3,15.85,12.719,10.878
0,2MASS J05351932-0524083,05 35 19.321,-05 24 08.33,,13.21,12.026
0,2MASS J05351486-0522315,05 35 14.870,-05 22 31.57,,11.63,
1,2MASS J05351353-0523594,05 35 13.53888,-05 23 59.4276,,12.647,11.249
0,2MASS J05351628-0522248,05 35 16.310,-05 22 24.00,14.38,12.89,11.75
0,2MASS J05351336-0523595,05 35 13.362,-05 23 59.55,,,12.92
1,2MASS J05351577-0524247,05 35 15.77881,-05 24 24.7038,,11.842,11.162
1,2MASS J05351594-0522211,05 35 15.94236,-05 22 21.0649,12.04,10.842,9.885
1,2MASS J05352067-0523531,05 35 20.67457,-05 23 53.2382,11.7,11.041,10.59
1,2MASS J05351312-0522471,05 35 13.11248,-05 22 47.1523,15.62,14.31,
0,2MASS J05351953-0524166,05 35 19.538,-05 24 16.63,,13.501,12.243
1,2MASS J05351836-0524267,05 35 18.38195,-05 24 26.7074,12.586,11.66,11.17
0,2MASS J05351350-0522373,05 35 13.502,-05 22 37.34,,13.51,10.75
1,2MASS J05351680-0524319,05 35 16.810,-05 24 31.92,14.046,12.459,11.251
0,2MASS J05351298-0524016,05 35 12.990,-05 24 01.64,,14.653,
1,2MASS J05351884-0522229,05 35 18.84540,-05 22 22.9967,,11.64,10.69
0,2MASS J05351780-0524306,05 35 17.81894,-05 24 30.5613,,11.817,11.156
