YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
0,2MASS J10445862-5942461,10 44 58.623,-59 42 46.12,,13.58,13.04
0,2MASS J10451030-5942298,10 45 10.27097,-59 42 29.7766,,13.54,
1,2MASS J10445449-5942432,10 44 54.49152,-59 42 43.1460,,13.3,13.08
0,2MASS J10450972-5942455,10 45 09.73598,-59 42 45.5528,,12.47,
0,2MASS J10445252-5942000,10 44 52.51918,-59 42 00.0093,,12.29,
0,2MASS J10445296-5942221,10 44 52.97158,-59 42 22.0289,,14.75,14.5
0,2MASS J10445453-5942469,10 44 54.534,-59 42 47.00,,14.09,13.68
0,2MASS J10445635-5943021,10 44 56.34431,-59 43 02.0973,13.46,12.42,12.04
0,2MASS J10451271-5942150,10 45 12.69850,-59 42 14.9363,,14.08,
0,2MASS J10451065-5942543,10 45 10.64655,-59 42 54.2384,14.219,13.51,13.27
0,2MASS J10450647-5943227,10 45 06.47704,-59 43 22.6026,14.474,13.983,13.766
0,2MASS J10444976-5942081,10 44 49.75304,-59 42 08.1058,14.07,13.18,12.66
0,2MASS J10445559-5943207,10 44 55.58206,-59 43 20.6033,14.85,13.99,13.81
1,2MASS J10445386-5943140,10 44 53.84380,-59 43 13.9887,13.22,12.72,12.55
0,2MASS J10450853-5943302,10 45 08.52445,-59 43 30.1038,12.302,10.941,10.462
0,2MASS J10450774-5943350,10 45 07.74,-59 43 35.1,13.301,12.784,12.625
0,2MASS J10451452-5942470,10 45 14.52355,-59 42 46.9855,14.139,13.148,12.824
1,2MASS J10445606-5943353,10 44 56.04889,-59 43 35.1813,,14.931,14.208
0,2MASS J10445371-5943244,10 44 53.70876,-59 43 24.3471,13.005,12.458,12.185
0,2MASS J10445275-5943190,10 44 52.74730,-59 43 18.9900,14.168,13.418,13.192
0,2MASS J10444797-5942059,10 44 47.96711,-59 42 05.9143,13.725,13.392,13.32
0,2MASS J10450118-5943480,10 45 01.23095,-59 43 48.1302,15.07,,
0,2MASS J10451405-5943155,10 45 14.058,-59 43 15.55,14.579,13.697,13.492
0,2MASS J10444877-5942594,10 44 48.77635,-59 42 59.2856,12.78,11.736,11.351
0,2MASS J10450109-5943581,10 45 01.10208,-59 43 58.0527,14.874,14.408,14.284
0,2MASS J10451752-5942321,10 45 17.54032,-59 42 32.1524,,,12.71
0,2MASS J10450088-5944033,10 45 00.88826,-59 44 03.2844,14.56,14.38,
0,2MASS J10450994-5943492,10 45 09.94332,-59 43 49.2528,13.82,13.31,
1,2MASS J10445482-5943516,10 44 54.82212,-59 43 51.5381,13.844,13.105,12.842
0,2MASS J10444616-5942293,10 44 46.17,-59 42 29.3,15.289,14.23,13.832
